F_0,F_1,F_2,Points_Magnitude
236.4051018383,-298.2295533979,202.8642939556,1.6287945509
-16.0385107121,-154.8510151835,202.6944972064,1.5864142179
7.9500007855,-154.9202044714,202.5967493189,1.5856733322
-75.9772233617,-172.1227185842,202.0672954203,1.5900273323
-43.7064543747,31.1912041488,202.0437622708,1.4168862104
-120.2299356770,-196.1481569062,200.9850824539,1.6013587713
-89.8967175730,24.0944879478,199.9125219836,1.4059395790
-180.3194864182,-230.2789877924,199.7668180271,1.6161987782
-144.5555721856,-209.3469318240,199.5162604093,1.6045600176
-19.3029555544,20.1465447845,199.3526796011,1.4099359512
-54.6136256885,14.9168583439,199.2318452342,1.3970561028
43.8669187045,22.7290062525,199.0337446242,1.4168522358
-143.3598063601,28.9998657095,198.9693632890,1.4021502733
-42.3406852581,10.2996990087,198.7668949097,1.3897438049
-72.8494160702,23.1430536066,198.6591705521,1.4076318741
43.1183582395,31.3792199269,198.3352967145,1.4289193153
32.6287631318,-153.5646921608,198.0704217121,1.5847136974
13.9727890942,20.3731973170,197.9914578427,1.4139026403
-107.2039287682,45.1268320164,197.6694915305,1.4300055504
-38.9029250342,-153.9481883257,197.4867010234,1.5863846540
166.6765162101,-221.6352843714,196.9993824403,1.6068568230
-87.0750890782,14.8849605601,196.6339910752,1.3923991919
-50.8489901907,29.1446765864,196.4822572134,1.4160407782
111.5530044197,-185.1177834620,196.4688801149,1.5917171240
72.7105165624,34.9835464361,196.2402938448,1.4313228130
-75.5238582673,15.8824972817,194.7120347741,1.3927501440
-119.5352594080,-185.9557617150,194.3894391747,1.5961337090
-95.2248829978,51.4992982909,193.5837934649,1.4401072264
-85.4753503299,41.3847868234,193.4954244124,1.4281359911
-103.2481118647,22.5767527557,193.2303782715,1.4008476734
-113.1750486995,24.9672094832,193.1664145132,1.4034696817
213.8574213856,-252.6358922336,193.1013265263,1.6151562929
-105.1474130773,25.7960428846,192.9461820753,1.4044909477
79.1324131260,16.8137543822,192.8214534433,1.4059463739
77.5285948191,23.3879024906,192.5279696012,1.4190365076
55.8884553727,30.9644556745,192.4668617841,1.4298766851
71.4244780210,41.0549392771,192.4377747844,1.4432345629
-123.3142285649,46.3898205422,192.1446219391,1.4296224117
-102.2005947042,52.1205672712,191.5523202419,1.4399160147
-111.1562504118,43.2758988447,191.4850989230,1.4258941412
-171.7819476503,-220.0382970970,191.3300150462,1.6110174656
70.3572488736,29.8342826452,191.1982716927,1.4269751310
-276.3081350151,-325.7320236459,191.0342324892,1.6392234564
-114.7322156863,35.3792023993,190.9727912070,1.4162948132
-126.9900883932,23.9313637517,190.7178454918,1.3987690210
-63.8154146271,13.3082194186,190.6501961329,1.3892847300
55.4131239401,22.0938512745,190.0012547862,1.4170334339
70.0821258326,22.5869877176,189.9571646961,1.4174994230
42.5532181676,13.7827820506,189.9179611348,1.4044091702
53.5090716539,-150.5415369640,189.7153528350,1.5833446980
-10.0457670560,45.0841992187,189.5218898484,1.4459813833
-10.8740611785,18.1680114801,189.4990872080,1.4094499350
-102.2063860137,33.9156899819,189.1531400075,1.4175086021
-246.2435302262,-298.3526730661,188.8354547676,1.6320484877
-50.4017074998,6.0424405236,188.4412227087,1.3822181225
-72.1257440158,46.4202362226,188.2574264715,1.4412690401
-57.7529955352,-151.1468502929,187.8153954326,1.5863168240
54.0121945925,13.9099464393,187.4246969871,1.4044275284
-72.0676955542,40.4144372020,187.3779614387,1.4324842691
73.7868947985,31.2225969632,187.1555351346,1.4310671091
-27.0702552777,9.8338790492,186.9742840937,1.3935787678
-140.5936357245,25.3928263262,186.6470818613,1.3999332190
-235.6513031084,-281.8322029358,186.2266536561,1.6273717880
67.4685110138,14.7052936896,186.1333375019,1.4051337242
59.3226009575,48.1608708591,186.0103564158,1.4562472105
89.5429580905,-161.4635756839,185.9586108565,1.5854228735
-70.3591849965,11.9614641244,185.7216053101,1.3873616457
258.1681469469,-316.7363897757,185.5425644779,1.6534180641
72.2521121742,13.1060237494,185.5222080044,1.4016082287
-94.8068179926,13.1265125326,185.4756334776,1.3894376755
-59.9181482914,6.0425620244,185.4580747047,1.3800655603
74.5190007621,39.7400796268,185.4334814559,1.4433896542
7.2616270970,17.9142374459,185.4167881758,1.4111504555
-83.8528039405,32.0060724393,185.2512613976,1.4187977314
34.1820311828,42.5372169000,185.2349140537,1.4494247437
69.2930773134,48.3541023318,185.0524900495,1.4534510374
89.1042009273,22.7300022749,184.6095408631,1.4191479683
-3.0787266743,43.7130909975,184.3228191595,1.4462140799
73.2323179070,46.3696742538,184.1735220787,1.4522584677
-40.2415756096,5.5380078084,183.8537173644,1.3816213608
32.5917408622,11.8783393796,183.2033218614,1.4019025564
-56.1731233468,32.3396318489,183.1080375161,1.4229964018
-94.3693209049,-160.7403396538,182.7267358662,1.5897793770
43.2238835538,46.5649825808,181.9564614515,1.4558974504
-78.1938174362,51.2521509256,181.8663654785,1.4473699331
86.1518801355,14.1182498461,180.9376541545,1.4055876732
-67.8273860522,5.6772787175,180.7477831641,1.3784818649
-129.7529303675,36.1582052584,180.7393129808,1.4169951677
-16.1761948382,45.7367510811,180.7324221307,1.4522900581
-136.9802167932,31.1400472369,180.5791731998,1.4093216658
155.8878376421,-202.0614738869,180.4604721704,1.5984861851
